    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    6    8        24   22        1.11110         38.759         40.045          -17.081          -15.058         0.14142E+00    0.17147E+00    1
    1    3        21   19        1.41843         57.999         62.314          -16.012          -14.370         0.14142E+00    0.22492E+00    1
    2    4        22   20        1.50075         53.349         56.968          -16.367          -14.951         0.14142E+00    0.20912E+00    1
    3    5        23   21        1.20726         49.467         51.339          -16.714          -15.337         0.14142E+00    0.17537E+00    1
    4    6        24   22        0.27250         45.297         45.640          -17.082          -15.338         0.14142E+00    0.16825E+00    1
    1    4        10    7        0.13641        251.807        251.125           -9.986          -10.329         0.14142E+00    0.14142E+00    0
    2    5        11    8        0.07608        250.079        249.704          -10.003          -10.284         0.14142E+00    0.14142E+00    0
    3    6        12    9        0.05533        246.322        246.052          -10.024          -10.204         0.14142E+00    0.14142E+00    0
    4    7        13   10        0.09872        243.766        243.285          -10.042          -10.130         0.14142E+00    0.14142E+00    0
    5    8        14   11        0.11315        241.009        240.464          -10.052          -10.077         0.14142E+00    0.14142E+00    0
    6    9        15   12        0.08858        238.726        238.303          -10.050          -10.027         0.14142E+00    0.14142E+00    0
    7   10        16   13        0.00679        237.005        236.977          -10.044           -9.979         0.14142E+00    0.14142E+00    0
    8   11        17   14        0.16028        231.977        232.722          -10.053           -9.970         0.14142E+00    0.14142E+00    0
    9   12        18   15        0.24596        226.149        227.264          -10.081          -10.024         0.14142E+00    0.14142E+00    0
   10   13        19   16        0.29828        216.829        218.126          -10.124          -10.105         0.14142E+00    0.14142E+00    0
   11   14        20   17        0.35138        209.581        211.059          -10.163          -10.181         0.14142E+00    0.14142E+00    0
   12   15        21   18        0.33815        201.368        202.734          -10.211          -10.283         0.14142E+00    0.14142E+00    0
   13   16        22   19        0.27960        189.000        190.059          -10.281          -10.456         0.14142E+00    0.14142E+00    0
   14   17        23   20        0.15607        177.493        178.045          -10.355          -10.668         0.14142E+00    0.14142E+00    0
   15   18        24   21        0.04485        164.589        164.714          -10.439          -10.908         0.14142E+00    0.14142E+00    0
