    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   45   24        53   35        0.36009          7.019          7.146           -2.954           -3.017         0.22361E+00    0.22361E+00    0
   46   26        53   35        0.46269          7.904          8.089           -2.965           -2.851         0.22361E+00    0.22361E+00    0
   47   28        53   35        0.15326          9.710          9.784           -2.669           -2.709         0.22361E+00    0.22361E+00    0
   49   29        53   35        0.03292          7.411          7.399           -2.823           -2.776         0.22361E+00    0.22361E+00    0
   50   30        53   35        0.36487         11.081         11.285           -2.681           -2.683         0.22361E+00    0.22361E+00    0
   43   23        53   36        0.48739          9.114          8.895           -3.073           -3.177         0.22361E+00    0.22361E+00    0
   45   24        53   36        0.59521          6.631          6.436           -3.175           -3.129         0.22361E+00    0.22361E+00    0
   46   26        53   36        0.63350          6.964          7.188           -2.892           -2.941         0.22361E+00    0.22361E+00    0
   47   28        53   36        0.73968          8.852          8.531           -2.771           -2.783         0.22361E+00    0.22361E+00    0
   49   29        53   36        0.19467          5.999          6.058           -2.873           -2.887         0.22361E+00    0.22361E+00    0
   50   30        53   36        2.25890          8.389         10.404           -2.606           -2.725         0.22361E+00    0.30872E+00    1
   43   23        53   37        1.22389          8.899          8.371           -3.386           -3.305         0.22361E+00    0.22361E+00    0
   45   24        53   37        0.40541          5.906          5.788           -3.304           -3.257         0.22361E+00    0.22361E+00    0
   46   26        53   37        0.01033          6.351          6.348           -3.027           -3.051         0.22361E+00    0.22361E+00    0
   47   28        53   37        0.83253          7.647          7.336           -2.861           -2.879         0.22361E+00    0.22361E+00    0
   49   29        53   37        1.33096          4.518          4.900           -3.026           -3.036         0.22361E+00    0.24681E+00    1
   50   30        53   37        0.77804          9.315          9.685           -2.751           -2.765         0.22361E+00    0.22361E+00    0
   43   23        53   38        0.15913          7.817          7.880           -3.456           -3.438         0.22361E+00    0.22361E+00    0
   45   24        53   38        0.56119          5.084          5.229           -3.370           -3.393         0.22361E+00    0.22361E+00    0
   46   26        53   38        0.32052          5.520          5.609           -3.150           -3.175         0.22361E+00    0.22361E+00    0
   47   28        53   38        0.74972          6.506          6.267           -2.871           -2.996         0.22361E+00    0.22361E+00    0
   49   29        53   38        1.41612          3.575          3.956           -3.074           -3.222         0.22361E+00    0.26770E+00    1
   50   30        53   38        1.29119          8.374          9.116           -2.804           -2.801         0.22361E+00    0.25644E+00    1
